hour,minute,in_sum,in_median,in_std,out_sum,out_median,out_std
8,56,387.0,387.0,,394.0,394.0,
8,57,404.0,404.0,,385.0,385.0,
8,58,346.0,346.0,,375.0,375.0,
8,59,402.0,402.0,,368.0,368.0,
9,0,453.0,453.0,,438.0,438.0,
9,1,404.0,404.0,,457.0,457.0,
9,2,448.0,448.0,,434.0,434.0,
9,3,455.0,455.0,,451.0,451.0,
9,4,457.0,457.0,,433.0,433.0,
9,5,390.0,390.0,,436.0,436.0,
9,6,418.0,418.0,,465.0,465.0,
9,7,470.0,470.0,,442.0,442.0,
9,8,447.0,447.0,,468.0,468.0,
9,9,413.0,413.0,,430.0,430.0,
9,10,460.0,460.0,,443.0,443.0,
9,11,438.0,438.0,,396.0,396.0,
9,12,405.0,405.0,,423.0,423.0,
9,13,447.0,447.0,,408.0,408.0,
9,14,416.0,416.0,,440.0,440.0,
9,15,398.0,398.0,,453.0,453.0,
9,16,461.0,461.0,,449.0,449.0,
9,17,426.0,426.0,,392.0,392.0,
9,18,459.0,459.0,,433.0,433.0,
9,19,420.0,420.0,,411.0,411.0,
9,20,451.0,451.0,,450.0,450.0,
9,21,464.0,464.0,,413.0,413.0,
9,22,418.0,418.0,,393.0,393.0,
9,23,432.0,432.0,,456.0,456.0,
9,24,442.0,442.0,,455.0,455.0,
9,25,445.0,445.0,,407.0,407.0,
9,26,452.0,452.0,,464.0,464.0,
9,27,434.0,434.0,,450.0,450.0,
9,28,432.0,432.0,,438.0,438.0,
9,29,420.0,420.0,,428.0,428.0,
9,30,490.0,490.0,,433.0,433.0,
9,31,419.0,419.0,,442.0,442.0,
9,32,422.0,422.0,,437.0,437.0,
9,33,432.0,432.0,,432.0,432.0,
9,34,432.0,432.0,,435.0,435.0,
9,35,464.0,464.0,,417.0,417.0,
9,36,436.0,436.0,,424.0,424.0,
9,37,489.0,489.0,,444.0,444.0,
9,38,413.0,413.0,,434.0,434.0,
9,39,430.0,430.0,,446.0,446.0,
9,40,443.0,443.0,,470.0,470.0,
9,41,447.0,447.0,,457.0,457.0,
9,42,472.0,472.0,,501.0,501.0,
9,43,453.0,453.0,,480.0,480.0,
9,44,477.0,477.0,,422.0,422.0,
9,45,429.0,429.0,,462.0,462.0,
9,46,480.0,480.0,,440.0,440.0,
9,47,510.0,510.0,,433.0,433.0,
9,48,432.0,432.0,,432.0,432.0,
9,49,474.0,474.0,,448.0,448.0,
9,50,418.0,418.0,,413.0,413.0,
9,51,435.0,435.0,,466.0,466.0,
9,52,469.0,469.0,,446.0,446.0,
9,53,457.0,457.0,,465.0,465.0,
9,54,443.0,443.0,,434.0,434.0,
9,55,479.0,479.0,,479.0,479.0,
9,56,427.0,427.0,,475.0,475.0,
9,57,446.0,446.0,,441.0,441.0,
9,58,452.0,452.0,,423.0,423.0,
9,59,432.0,432.0,,409.0,409.0,
10,0,266.0,266.0,,290.0,290.0,
10,1,275.0,275.0,,245.0,245.0,
10,2,313.0,313.0,,272.0,272.0,
10,3,272.0,272.0,,261.0,261.0,
10,4,286.0,286.0,,254.0,254.0,
10,5,276.0,276.0,,290.0,290.0,
10,6,294.0,294.0,,272.0,272.0,
10,7,262.0,262.0,,258.0,258.0,
10,8,252.0,252.0,,255.0,255.0,
10,9,270.0,270.0,,251.0,251.0,
10,10,276.0,276.0,,250.0,250.0,
10,11,262.0,262.0,,245.0,245.0,
10,12,274.0,274.0,,290.0,290.0,
10,13,286.0,286.0,,254.0,254.0,
10,14,291.0,291.0,,250.0,250.0,
10,15,252.0,252.0,,301.0,301.0,
10,16,273.0,273.0,,266.0,266.0,
10,17,279.0,279.0,,240.0,240.0,
10,18,265.0,265.0,,258.0,258.0,
10,19,257.0,257.0,,271.0,271.0,
10,20,236.0,236.0,,267.0,267.0,
10,21,286.0,286.0,,275.0,275.0,
10,22,287.0,287.0,,289.0,289.0,
10,23,270.0,270.0,,242.0,242.0,
10,24,277.0,277.0,,259.0,259.0,
10,25,275.0,275.0,,266.0,266.0,
10,26,260.0,260.0,,283.0,283.0,
10,27,275.0,275.0,,262.0,262.0,
10,28,282.0,282.0,,304.0,304.0,
10,29,256.0,256.0,,280.0,280.0,
10,30,257.0,257.0,,286.0,286.0,
10,31,289.0,289.0,,251.0,251.0,
10,32,269.0,269.0,,239.0,239.0,
10,33,264.0,264.0,,246.0,246.0,
10,34,292.0,292.0,,257.0,257.0,
10,35,253.0,253.0,,269.0,269.0,
10,36,289.0,289.0,,250.0,250.0,
10,37,264.0,264.0,,281.0,281.0,
10,38,285.0,285.0,,272.0,272.0,
10,39,262.0,262.0,,267.0,267.0,
10,40,294.0,294.0,,275.0,275.0,
10,41,276.0,276.0,,288.0,288.0,
10,42,273.0,273.0,,289.0,289.0,
10,43,258.0,258.0,,255.0,255.0,
10,44,287.0,287.0,,250.0,250.0,
10,45,281.0,281.0,,265.0,265.0,
10,46,288.0,288.0,,257.0,257.0,
10,47,271.0,271.0,,298.0,298.0,
10,48,230.0,230.0,,250.0,250.0,
10,49,280.0,280.0,,286.0,286.0,
10,50,266.0,266.0,,242.0,242.0,
10,51,287.0,287.0,,264.0,264.0,
10,52,256.0,256.0,,263.0,263.0,
10,53,272.0,272.0,,269.0,269.0,
10,54,276.0,276.0,,264.0,264.0,
10,55,262.0,262.0,,255.0,255.0,
10,56,241.0,241.0,,261.0,261.0,
10,57,283.0,283.0,,288.0,288.0,
10,58,288.0,288.0,,273.0,273.0,
10,59,256.0,256.0,,285.0,285.0,
11,0,273.0,273.0,,270.0,270.0,
11,1,290.0,290.0,,261.0,261.0,
11,2,271.0,271.0,,260.0,260.0,
11,3,292.0,292.0,,234.0,234.0,
11,4,271.0,271.0,,264.0,264.0,
11,5,277.0,277.0,,281.0,281.0,
11,6,287.0,287.0,,305.0,305.0,
11,7,314.0,314.0,,266.0,266.0,
11,8,264.0,264.0,,232.0,232.0,
11,9,252.0,252.0,,259.0,259.0,
11,10,259.0,259.0,,264.0,264.0,
11,11,277.0,277.0,,284.0,284.0,
11,12,246.0,246.0,,289.0,289.0,
11,13,259.0,259.0,,261.0,261.0,
11,14,274.0,274.0,,264.0,264.0,
11,15,274.0,274.0,,244.0,244.0,
11,16,272.0,272.0,,267.0,267.0,
11,17,266.0,266.0,,266.0,266.0,
11,18,271.0,271.0,,264.0,264.0,
11,19,268.0,268.0,,273.0,273.0,
11,20,274.0,274.0,,256.0,256.0,
11,21,284.0,284.0,,307.0,307.0,
11,22,274.0,274.0,,270.0,270.0,
11,23,273.0,273.0,,259.0,259.0,
11,24,266.0,266.0,,278.0,278.0,
11,25,295.0,295.0,,267.0,267.0,
11,26,251.0,251.0,,267.0,267.0,
11,27,265.0,265.0,,282.0,282.0,
11,28,297.0,297.0,,269.0,269.0,
11,29,277.0,277.0,,249.0,249.0,
11,30,270.0,270.0,,289.0,289.0,
11,31,284.0,284.0,,264.0,264.0,
11,32,304.0,304.0,,262.0,262.0,
11,33,235.0,235.0,,295.0,295.0,
11,34,261.0,261.0,,246.0,246.0,
11,35,256.0,256.0,,246.0,246.0,
11,36,285.0,285.0,,240.0,240.0,
11,37,277.0,277.0,,267.0,267.0,
11,38,291.0,291.0,,271.0,271.0,
11,39,289.0,289.0,,284.0,284.0,
11,40,285.0,285.0,,258.0,258.0,
11,41,291.0,291.0,,251.0,251.0,
11,42,266.0,266.0,,285.0,285.0,
11,43,248.0,248.0,,255.0,255.0,
11,44,293.0,293.0,,264.0,264.0,
11,45,285.0,285.0,,230.0,230.0,
11,46,298.0,298.0,,278.0,278.0,
11,47,266.0,266.0,,241.0,241.0,
11,48,262.0,262.0,,282.0,282.0,
11,49,260.0,260.0,,270.0,270.0,
11,50,297.0,297.0,,279.0,279.0,
11,51,254.0,254.0,,260.0,260.0,
11,52,263.0,263.0,,258.0,258.0,
11,53,286.0,286.0,,268.0,268.0,
11,54,276.0,276.0,,280.0,280.0,
11,55,250.0,250.0,,236.0,236.0,
11,56,279.0,279.0,,266.0,266.0,
11,57,256.0,256.0,,237.0,237.0,
11,58,286.0,286.0,,276.0,276.0,
11,59,257.0,257.0,,310.0,310.0,
12,0,545.0,545.0,,572.0,572.0,
12,1,521.0,521.0,,538.0,538.0,
12,2,496.0,496.0,,555.0,555.0,
12,3,550.0,550.0,,524.0,524.0,
12,4,548.0,548.0,,542.0,542.0,
12,5,491.0,491.0,,506.0,506.0,
12,6,551.0,551.0,,563.0,563.0,
12,7,524.0,524.0,,556.0,556.0,
12,8,537.0,537.0,,547.0,547.0,
12,9,498.0,498.0,,509.0,509.0,
12,10,494.0,494.0,,528.0,528.0,
12,11,572.0,572.0,,500.0,500.0,
12,12,539.0,539.0,,500.0,500.0,
12,13,576.0,576.0,,543.0,543.0,
12,14,560.0,560.0,,570.0,570.0,
12,15,567.0,567.0,,560.0,560.0,
12,16,526.0,526.0,,551.0,551.0,
12,17,563.0,563.0,,547.0,547.0,
12,18,497.0,497.0,,558.0,558.0,
12,19,565.0,565.0,,568.0,568.0,
12,20,534.0,534.0,,539.0,539.0,
12,21,576.0,576.0,,506.0,506.0,
12,22,540.0,540.0,,560.0,560.0,
12,23,543.0,543.0,,521.0,521.0,
12,24,542.0,542.0,,513.0,513.0,
12,25,557.0,557.0,,529.0,529.0,
12,26,515.0,515.0,,555.0,555.0,
12,27,555.0,555.0,,538.0,538.0,
12,28,497.0,497.0,,538.0,538.0,
12,29,573.0,573.0,,515.0,515.0,
12,30,583.0,583.0,,500.0,500.0,
12,31,569.0,569.0,,536.0,536.0,
12,32,554.0,554.0,,529.0,529.0,
12,33,581.0,581.0,,560.0,560.0,
12,34,511.0,511.0,,514.0,514.0,
12,35,547.0,547.0,,569.0,569.0,
12,36,533.0,533.0,,539.0,539.0,
12,37,525.0,525.0,,553.0,553.0,
12,38,549.0,549.0,,533.0,533.0,
12,39,532.0,532.0,,539.0,539.0,
12,40,514.0,514.0,,548.0,548.0,
12,41,565.0,565.0,,553.0,553.0,
12,42,562.0,562.0,,551.0,551.0,
12,43,508.0,508.0,,537.0,537.0,
12,44,538.0,538.0,,522.0,522.0,
12,45,526.0,526.0,,572.0,572.0,
12,46,567.0,567.0,,562.0,562.0,
12,47,519.0,519.0,,533.0,533.0,
12,48,530.0,530.0,,531.0,531.0,
12,49,532.0,532.0,,494.0,494.0,
12,50,515.0,515.0,,497.0,497.0,
12,51,579.0,579.0,,510.0,510.0,
12,52,521.0,521.0,,533.0,533.0,
12,53,555.0,555.0,,533.0,533.0,
12,54,528.0,528.0,,516.0,516.0,
12,55,543.0,543.0,,480.0,480.0,
12,56,556.0,556.0,,540.0,540.0,
12,57,567.0,567.0,,553.0,553.0,
12,58,549.0,549.0,,569.0,569.0,
12,59,601.0,601.0,,553.0,553.0,
13,0,807.0,807.0,,831.0,831.0,
13,1,855.0,855.0,,820.0,820.0,
13,2,885.0,885.0,,814.0,814.0,
13,3,889.0,889.0,,871.0,871.0,
13,4,944.0,944.0,,858.0,858.0,
13,5,876.0,876.0,,815.0,815.0,
13,6,878.0,878.0,,869.0,869.0,
13,7,888.0,888.0,,906.0,906.0,
13,8,862.0,862.0,,860.0,860.0,
13,9,914.0,914.0,,813.0,813.0,
13,10,856.0,856.0,,877.0,877.0,
13,11,880.0,880.0,,807.0,807.0,
13,12,883.0,883.0,,812.0,812.0,
13,13,847.0,847.0,,887.0,887.0,
13,14,840.0,840.0,,871.0,871.0,
13,15,896.0,896.0,,856.0,856.0,
13,16,916.0,916.0,,885.0,885.0,
13,17,849.0,849.0,,886.0,886.0,
13,18,888.0,888.0,,847.0,847.0,
13,19,873.0,873.0,,840.0,840.0,
13,20,866.0,866.0,,886.0,886.0,
13,21,891.0,891.0,,874.0,874.0,
13,22,878.0,878.0,,875.0,875.0,
13,23,895.0,895.0,,926.0,926.0,
13,24,872.0,872.0,,890.0,890.0,
13,25,861.0,861.0,,945.0,945.0,
13,26,869.0,869.0,,892.0,892.0,
13,27,884.0,884.0,,919.0,919.0,
13,28,864.0,864.0,,933.0,933.0,
13,29,854.0,854.0,,915.0,915.0,
13,30,923.0,923.0,,838.0,838.0,
13,31,889.0,889.0,,850.0,850.0,
13,32,969.0,969.0,,906.0,906.0,
13,33,947.0,947.0,,937.0,937.0,
13,34,912.0,912.0,,909.0,909.0,
13,35,909.0,909.0,,935.0,935.0,
13,36,924.0,924.0,,894.0,894.0,
13,37,956.0,956.0,,947.0,947.0,
13,38,976.0,976.0,,861.0,861.0,
13,39,970.0,970.0,,966.0,966.0,
13,40,898.0,898.0,,911.0,911.0,
13,41,974.0,974.0,,950.0,950.0,
13,42,1009.0,1009.0,,980.0,980.0,
13,43,946.0,946.0,,894.0,894.0,
13,44,837.0,837.0,,981.0,981.0,
13,45,960.0,960.0,,930.0,930.0,
13,46,881.0,881.0,,955.0,955.0,
13,47,910.0,910.0,,938.0,938.0,
13,48,956.0,956.0,,899.0,899.0,
13,49,888.0,888.0,,932.0,932.0,
13,50,864.0,864.0,,947.0,947.0,
13,51,948.0,948.0,,947.0,947.0,
13,52,909.0,909.0,,876.0,876.0,
13,53,853.0,853.0,,891.0,891.0,
13,54,875.0,875.0,,894.0,894.0,
13,55,910.0,910.0,,926.0,926.0,
13,56,884.0,884.0,,935.0,935.0,
13,57,875.0,875.0,,873.0,873.0,
13,58,849.0,849.0,,887.0,887.0,
13,59,921.0,921.0,,818.0,818.0,
14,0,1760.0,1760.0,,1861.0,1861.0,
14,1,1830.0,1830.0,,1803.0,1803.0,
14,2,1794.0,1794.0,,1786.0,1786.0,
14,3,1816.0,1816.0,,1796.0,1796.0,
14,4,1835.0,1835.0,,1800.0,1800.0,
14,5,1830.0,1830.0,,1756.0,1756.0,
14,6,1811.0,1811.0,,1905.0,1905.0,
14,7,1812.0,1812.0,,1773.0,1773.0,
14,8,1775.0,1775.0,,1817.0,1817.0,
14,9,1798.0,1798.0,,1802.0,1802.0,
14,10,1708.0,1708.0,,1812.0,1812.0,
14,11,1780.0,1780.0,,1812.0,1812.0,
14,12,1795.0,1795.0,,1790.0,1790.0,
14,13,1808.0,1808.0,,1816.0,1816.0,
14,14,1882.0,1882.0,,1910.0,1910.0,
14,15,1773.0,1773.0,,1783.0,1783.0,
14,16,1771.0,1771.0,,1713.0,1713.0,
14,17,1810.0,1810.0,,1799.0,1799.0,
14,18,1895.0,1895.0,,1791.0,1791.0,
14,19,1850.0,1850.0,,1820.0,1820.0,
14,20,1751.0,1751.0,,1813.0,1813.0,
14,21,1831.0,1831.0,,1758.0,1758.0,
14,22,1709.0,1709.0,,1832.0,1832.0,
14,23,1818.0,1818.0,,1839.0,1839.0,
14,24,1754.0,1754.0,,1819.0,1819.0,
14,25,1761.0,1761.0,,1814.0,1814.0,
14,26,1836.0,1836.0,,1765.0,1765.0,
14,27,1828.0,1828.0,,1825.0,1825.0,
14,28,1787.0,1787.0,,1736.0,1736.0,
14,29,1823.0,1823.0,,1782.0,1782.0,
14,30,1833.0,1833.0,,1846.0,1846.0,
14,31,1857.0,1857.0,,1806.0,1806.0,
14,32,1754.0,1754.0,,1774.0,1774.0,
14,33,1817.0,1817.0,,1791.0,1791.0,
14,34,1830.0,1830.0,,1735.0,1735.0,
14,35,1835.0,1835.0,,1799.0,1799.0,
14,36,1749.0,1749.0,,1810.0,1810.0,
14,37,1879.0,1879.0,,1809.0,1809.0,
14,38,1768.0,1768.0,,1790.0,1790.0,
14,39,1879.0,1879.0,,1834.0,1834.0,
14,40,1866.0,1866.0,,1808.0,1808.0,
14,41,1856.0,1856.0,,1797.0,1797.0,
14,42,1866.0,1866.0,,1808.0,1808.0,
14,43,1808.0,1808.0,,1899.0,1899.0,
14,44,1819.0,1819.0,,1804.0,1804.0,
14,45,1781.0,1781.0,,1800.0,1800.0,
14,46,1769.0,1769.0,,1770.0,1770.0,
14,47,1835.0,1835.0,,1782.0,1782.0,
14,48,1906.0,1906.0,,1818.0,1818.0,
14,49,1911.0,1911.0,,1868.0,1868.0,
14,50,1814.0,1814.0,,1722.0,1722.0,
14,51,1845.0,1845.0,,1867.0,1867.0,
14,52,1845.0,1845.0,,1915.0,1915.0,
14,53,1767.0,1767.0,,1879.0,1879.0,
14,54,1749.0,1749.0,,1817.0,1817.0,
14,55,1794.0,1794.0,,1853.0,1853.0,
14,56,1796.0,1796.0,,1720.0,1720.0,
14,57,1859.0,1859.0,,1810.0,1810.0,
14,58,1866.0,1866.0,,1774.0,1774.0,
14,59,1816.0,1816.0,,1772.0,1772.0,
15,0,2306.0,2306.0,,2322.0,2322.0,
15,1,2242.0,2242.0,,2310.0,2310.0,
15,2,2338.0,2338.0,,2327.0,2327.0,
15,3,2456.0,2456.0,,2316.0,2316.0,
15,4,2202.0,2202.0,,2289.0,2289.0,
15,5,2384.0,2384.0,,2285.0,2285.0,
15,6,2352.0,2352.0,,2340.0,2340.0,
15,7,2305.0,2305.0,,2286.0,2286.0,
15,8,2341.0,2341.0,,2320.0,2320.0,
15,9,2272.0,2272.0,,2231.0,2231.0,
15,10,2374.0,2374.0,,2333.0,2333.0,
15,11,2326.0,2326.0,,2357.0,2357.0,
15,12,2300.0,2300.0,,2354.0,2354.0,
15,13,2327.0,2327.0,,2250.0,2250.0,
15,14,2320.0,2320.0,,2224.0,2224.0,
15,15,2341.0,2341.0,,2303.0,2303.0,
15,16,2295.0,2295.0,,2199.0,2199.0,
15,17,2344.0,2344.0,,2390.0,2390.0,
15,18,2340.0,2340.0,,2267.0,2267.0,
15,19,2281.0,2281.0,,2333.0,2333.0,
15,20,2274.0,2274.0,,2304.0,2304.0,
15,21,2273.0,2273.0,,2275.0,2275.0,
15,22,2211.0,2211.0,,2268.0,2268.0,
15,23,2307.0,2307.0,,2343.0,2343.0,
15,24,2350.0,2350.0,,2328.0,2328.0,
15,25,2350.0,2350.0,,2262.0,2262.0,
15,26,2234.0,2234.0,,2306.0,2306.0,
15,27,2305.0,2305.0,,2293.0,2293.0,
15,28,2354.0,2354.0,,2343.0,2343.0,
15,29,2356.0,2356.0,,2321.0,2321.0,
15,30,2309.0,2309.0,,2399.0,2399.0,
15,31,2324.0,2324.0,,2293.0,2293.0,
15,32,2400.0,2400.0,,2340.0,2340.0,
15,33,2324.0,2324.0,,2402.0,2402.0,
15,34,2362.0,2362.0,,2387.0,2387.0,
15,35,2340.0,2340.0,,2255.0,2255.0,
15,36,2305.0,2305.0,,2310.0,2310.0,
15,37,2303.0,2303.0,,2355.0,2355.0,
15,38,2344.0,2344.0,,2368.0,2368.0,
15,39,2343.0,2343.0,,2452.0,2452.0,
15,40,2369.0,2369.0,,2325.0,2325.0,
15,41,2374.0,2374.0,,2388.0,2388.0,
15,42,2365.0,2365.0,,2361.0,2361.0,
15,43,2296.0,2296.0,,2469.0,2469.0,
15,44,2316.0,2316.0,,2402.0,2402.0,
15,45,2281.0,2281.0,,2370.0,2370.0,
15,46,2442.0,2442.0,,2428.0,2428.0,
15,47,2254.0,2254.0,,2484.0,2484.0,
15,48,2398.0,2398.0,,2396.0,2396.0,
15,49,2362.0,2362.0,,2287.0,2287.0,
15,50,2349.0,2349.0,,2329.0,2329.0,
15,51,2340.0,2340.0,,2235.0,2235.0,
15,52,2322.0,2322.0,,2357.0,2357.0,
15,53,2352.0,2352.0,,2288.0,2288.0,
15,54,2349.0,2349.0,,2294.0,2294.0,
15,55,2287.0,2287.0,,2388.0,2388.0,
15,56,2421.0,2421.0,,2304.0,2304.0,
15,57,2411.0,2411.0,,2325.0,2325.0,
15,58,2266.0,2266.0,,2297.0,2297.0,
15,59,2282.0,2282.0,,2310.0,2310.0,
16,0,1188.0,1188.0,,1154.0,1154.0,
16,1,1071.0,1071.0,,1135.0,1135.0,
16,2,1137.0,1137.0,,1156.0,1156.0,
16,3,1140.0,1140.0,,1090.0,1090.0,
16,4,1101.0,1101.0,,1137.0,1137.0,
16,5,1062.0,1062.0,,1176.0,1176.0,
16,6,1199.0,1199.0,,1150.0,1150.0,
16,7,1086.0,1086.0,,1121.0,1121.0,
16,8,1212.0,1212.0,,1187.0,1187.0,
